source,sha256,key,mean,lower,upper,scale,interval_status,n,unit
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/unused_chosen,0.4138127853881278,0.3912671232876712,0.4370719178082192,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/effective_chosen,19.613701152286147,18.198878130364168,21.069472078305406,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/noise_stability,0.9287957085503473,0.9240111456976997,0.9329817030164931,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/cross_memory_cosine,0.26368737599206354,0.23449900793650796,0.29482886904761907,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/collision_fraction,0.0016741071428571428,0.0006510416666666666,0.002976190476190476,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/clipped_coordinate_fraction,3.692766302796804e-05,1.9508954052511414e-05,5.6715316424086757e-05,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/update_norm,0.019435253678553255,0.01907638601731224,0.01978196727070562,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/old_pair_margin_abs_change,0.015458898407441284,0.014606755418267635,0.01633095865165124,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/clean_rank_gap,0.053366431798822556,0.05107805338351394,0.05569209014995229,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_ordinary/noisy_rank_gap,0.04729648453325574,0.04555012885373724,0.04907220704109263,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/unused_presented,0.3059360730593607,0.28396118721461183,0.3287671232876712,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/effective_presented,24.620534980039885,22.60942736166053,26.625200022896436,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/unused_chosen,0.3660102739726027,0.3441780821917808,0.3885559360730593,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/effective_chosen,20.57676398948022,19.063033614157757,22.133167331589767,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/noise_stability,0.9189232720269098,0.9141014946831598,0.9233178032769097,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/cross_memory_cosine,0.2527901785714286,0.2240513392857143,0.28334263392857145,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/collision_fraction,0.001209077380952381,0.00027901785714285713,0.0023251488095238095,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/clipped_coordinate_fraction,4.110815318207762e-05,2.0205702411529678e-05,6.563369541952055e-05,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/update_norm,0.01945633068978738,0.01909292285559987,0.019809847434992155,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
