-0,0.0078730945277369988,-0,0.18995667706399177,-0,-0,-0,-0,-0,0.017549127511924351,-0,0.18081466513488217,-0,-0,-0,-0,-0,0.016594738823323886,-0,0.21753476439064331,-0,-0,-0,-0,-0,-0,-0,0.19363346626332237,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.01554781465449513,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,0.19414694692089154,-0,-0,-0,-0,0.13266755639433875,-0,-0,0.19932735109355207,-0,-0,-0,-0,0.14607324202301078,-0,-0,0.2181641167061735,-0,-0,-0,-0,0.14719465439112353,-0,-0,0.13026159502701101,-0,-0,-0,-0,0.14857332918958244,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.26152892394162564,-0,-0,-0,-0,-0,-0,0.047758209790689253,0.26456082162454009,-0,-0,-0,-0,-0,-0,0.047869009023478112,0.28345866329865538,-0,-0,-0,-0,-0,-0,0.043939930555341296,0.26508021495260536,-0,-0,-0,-0,-0,-0,0.021588928618221512
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,0.056287076201348291,-0,-0,-0,-0,-0,-0,-0,0.063353126980251084,-0,-0,-0,-0,-0,-0,-0,0.064955237213020336,-0,-0,-0,-0,-0,-0,-0,0.033723970996138573
-0,0.30157925828384918,0.027018155944889485,-0,-0,-0,-0,-0,-0,0.2967798570537275,-0,-0,-0,-0,-0,-0,-0,0.31225912510509901,0.012808215793834763,-0,-0,-0,-0,-0,-0,0.32003252877433408,0.026159213094730214,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,0.072415483366120248,-0,-0,-0,-0,-0,-0,-0,0.073171598302515684,-0,-0,-0,-0,-0,-0,-0,0.083424206926382222,-0,-0,-0,-0,-0,-0,-0,0.092360859515780519,-0,-0
