overlap,regime,load,family,pair,subsequent_pairs,subsequent_presentations,retention,forgetting,forgetting_lower95,forgetting_upper95
2,per_pair,2,native4,0,1,128,0.9604923951452327,0.033026926934610325,0.011234142095323358,0.06201083864404965
2,per_pair,2,native4,1,0,0,0.9908526357505287,0.0,0.0,0.0
2,per_pair,2,native6,0,1,128,0.9882683473929235,0.006852303200381948,0.0014459252879904757,0.013535392329854996
2,per_pair,2,native6,1,0,0,0.9866027145171725,0.0,0.0,0.0
2,per_pair,2,direct,0,1,128,0.9899152464325773,0.006096775806283948,-0.0005239219383773653,0.01619370314932561
2,per_pair,2,direct,1,0,0,0.9869930738087148,0.0,0.0,0.0
2,per_pair,2,random4,0,1,128,0.9654378730075887,0.025351407120980284,0.009217799431366799,0.04628825095713224
2,per_pair,2,random4,1,0,0,0.9791569415084054,0.0,0.0,0.0
2,per_pair,2,random6,0,1,128,0.9812177016837313,0.01254080784632642,0.0034213844264680614,0.024190879300135228
2,per_pair,2,random6,1,0,0,0.9837738942212367,0.0,0.0,0.0
2,per_pair,2,oracle,0,1,128,0.9973465845394878,0.0,0.0,0.0
2,per_pair,2,oracle,1,0,0,0.9955452882275917,0.0,0.0,0.0
2,per_pair,4,native4,0,3,384,0.8083527104508268,0.1851666116290163,0.1062871535621558,0.2725744530773908
2,per_pair,4,native4,1,2,256,0.9044157684463079,0.0864368673042207,0.022761078311349374,0.16465973773850195
2,per_pair,4,native4,2,1,128,0.9719788758459234,0.023057031571249734,0.0032521861161245204,0.0551102306925654
2,per_pair,4,native4,3,0,0,0.9878324418717472,0.0,0.0,0.0
2,per_pair,4,native6,0,3,384,0.907275943365812,0.08784470722749357,0.027891483438087276,0.16324427082023585
2,per_pair,4,native6,1,2,256,0.9565475427458883,0.03005517177128436,-0.00680349810680512,0.07896496620785869
2,per_pair,4,native6,2,1,128,0.9931602868718742,0.0020754816300245227,6.974140762469579e-05,0.004402418257085347
2,per_pair,4,native6,3,0,0,0.9893087410511086,0.0,0.0,0.0
2,per_pair,4,direct,0,3,384,0.9604601109364539,0.03555191130240741,0.004223863792441613,0.08868221169585741
2,per_pair,4,direct,1,2,256,0.987963747221428,-0.0009706734127132334,-0.022316517298643267,0.014208162110674867
2,per_pair,4,direct,2,1,128,0.9892535340546451,0.0059801617211850365,0.0012639984818545128,0.011939333727598584
2,per_pair,4,direct,3,0,0,0.9905743281538818,0.0,0.0,0.0
2,per_pair,4,random4,0,3,384,0.8427817138125924,0.1480075663159767,0.09043062900675185,0.21289163177388404
2,per_pair,4,random4,1,2,256,0.9147492351119519,0.06440770639645343,0.022274023756068868,0.10869626200154335
2,per_pair,4,random4,2,1,128,0.9375597172740763,0.05434968493751623,0.01978787075175014,0.1044334648831735
2,per_pair,4,random4,3,0,0,0.9910115541933631,0.0,0.0,0.0
2,per_pair,4,random6,0,3,384,0.9027653472325466,0.09099316229751105,0.03553954799192392,0.16229603076554389
2,per_pair,4,random6,1,2,256,0.9513204311034241,0.032453463117812636,0.006439546315809047,0.06390936751625576
2,per_pair,4,random6,2,1,128,0.9707929229878411,0.02462752934987824,0.00956601742178777,0.04453269934538979
2,per_pair,4,random6,3,0,0,0.9914810659887376,0.0,0.0,0.0
2,per_pair,4,oracle,0,3,384,0.9973465845394878,0.0,0.0,0.0
2,per_pair,4,oracle,1,2,256,0.9955452882275917,0.0,0.0,0.0
2,per_pair,4,oracle,2,1,128,0.9986349163568365,0.0,0.0,0.0
2,per_pair,4,oracle,3,0,0,0.9957413439434486,0.0,0.0,0.0
2,per_pair,8,native4,0,7,896,0.6636742420412507,0.32984508003859236,0.23186798698492245,0.4328326471476739
2,per_pair,8,native4,1,6,768,0.7334007392259447,0.25745189652458395,0.15986937535118298,0.36503005890091483
2,per_pair,8,native4,2,5,640,0.7529702679563275,0.2420656394608457,0.1422619108181534,0.35252970842335324
2,per_pair,8,native4,3,4,512,0.7161258385476654,0.2717066033240818,0.15019331550902643,0.4022630635883316
2,per_pair,8,native4,4,3,384,0.8421657516435552,0.1531517875652044,0.06947955615536087,0.2522733782513402
2,per_pair,8,native4,5,2,256,0.8878098856242,0.10545437095228061,0.041567441072818075,0.18208209578928428
2,per_pair,8,native4,6,1,128,0.9628785853503351,0.022485439674953974,-0.004624995048855341,0.06432773984528443
2,per_pair,8,native4,7,0,0,0.9841118547886291,0.0,0.0,0.0
2,per_pair,8,native6,0,7,896,0.8654824983915647,0.12963815220174082,0.05933520039832621,0.2174063591120071
2,per_pair,8,native6,1,6,768,0.8583098867533456,0.12829282776382692,0.06102917246926488,0.2091669661539153
2,per_pair,8,native6,2,5,640,0.8873650849334582,0.10787068356844047,0.042507963980650314,0.186397175037837
2,per_pair,8,native6,3,4,512,0.8281915960560144,0.16111714499509414,0.06354125007741797,0.2741898329431652
2,per_pair,8,native6,4,3,384,0.8905660725017299,0.10434289722632877,0.03012072174728261,0.19631792410920176
2,per_pair,8,native6,5,2,256,0.9245255016125562,0.0721963083998562,0.0236343838552246,0.13423748882704845
2,per_pair,8,native6,6,1,128,0.9858129462212449,0.00605003843953723,-0.000658801149587493,0.014018580853194107
2,per_pair,8,native6,7,0,0,0.9930755833460472,0.0,0.0,0.0
2,per_pair,8,direct,0,7,896,0.9319013822575835,0.06411063998127779,0.020072315935313032,0.13263399665169562
2,per_pair,8,direct,1,6,768,0.9203153126119956,0.06667776119671909,0.018412286447104305,0.12892376849389167
2,per_pair,8,direct,2,5,640,0.985357953551194,0.009875742224636101,0.002427826366678778,0.019168842368054485
2,per_pair,8,direct,3,4,512,0.951176505536188,0.039397822617693715,0.01331089067883684,0.06974647166319324
2,per_pair,8,direct,4,3,384,0.9658462585877392,0.024313614184209086,0.009706768920797708,0.044749808686099325
2,per_pair,8,direct,5,2,256,0.9503230797644109,0.04670082864909598,0.010345161610092891,0.1041777861121693
2,per_pair,8,direct,6,1,128,0.9907756436215903,0.0037666935451179037,0.00032892683509178874,0.008226510409171772
2,per_pair,8,direct,7,0,0,0.9919510523941943,0.0,0.0,0.0
2,per_pair,8,random4,0,7,896,0.6306040072926815,0.3601852728358875,0.276480643312719,0.44889323426300765
2,per_pair,8,random4,1,6,768,0.7355549152620309,0.24360202624637453,0.18595902122742852,0.30274900705861163
2,per_pair,8,random4,2,5,640,0.7109311129091631,0.28097828930242935,0.20570088864573605,0.3633796322889442
2,per_pair,8,random4,3,4,512,0.7269090697826552,0.26410248441070794,0.17995706663865849,0.3539231491102049
2,per_pair,8,random4,4,3,384,0.795482040416027,0.1961995974383918,0.12202947133688485,0.2831819391486267
2,per_pair,8,random4,5,2,256,0.8291113047323584,0.1666943793424267,0.10704927534935241,0.23253226520224646
2,per_pair,8,random4,6,1,128,0.939946958333788,0.046567368524502786,0.02415694763792628,0.07297875094812285
2,per_pair,8,random4,7,0,0,0.9931947168483535,0.0,0.0,0.0
2,per_pair,8,random6,0,7,896,0.772313916574551,0.22144459295550672,0.1501099005364547,0.2990432309476436
2,per_pair,8,random6,1,6,768,0.8258881221851688,0.15788577203606793,0.10528269309403043,0.21402553996591456
2,per_pair,8,random6,2,5,640,0.8318384343782493,0.16358201795947003,0.10000764833376326,0.23471215708558807
2,per_pair,8,random6,3,4,512,0.8343778629927385,0.15710320299599909,0.09857458074664452,0.2215663404950379
2,per_pair,8,random6,4,3,384,0.8763454718307411,0.11487487244351362,0.0558743131908233,0.18771508801936
2,per_pair,8,random6,5,2,256,0.8818153923483183,0.11360681554453267,0.05827572061105437,0.18019399134186012
2,per_pair,8,random6,6,1,128,0.9684432976797047,0.02475494399274289,0.00529212210384958,0.052501980047847424
2,per_pair,8,random6,7,0,0,0.9883241314973954,0.0,0.0,0.0
2,per_pair,8,oracle,0,7,896,0.9973465845394878,0.0,0.0,0.0
2,per_pair,8,oracle,1,6,768,0.9955452882275917,0.0,0.0,0.0
2,per_pair,8,oracle,2,5,640,0.9986349163568365,0.0,0.0,0.0
2,per_pair,8,oracle,3,4,512,0.9957413439434486,0.0,0.0,0.0
2,per_pair,8,oracle,4,3,384,0.9974521279821247,0.0,0.0,0.0
2,per_pair,8,oracle,5,2,256,0.9975587761652774,0.0,0.0,0.0
2,per_pair,8,oracle,6,1,128,0.9977840513846055,0.0,0.0,0.0
2,per_pair,8,oracle,7,0,0,0.9964674974330643,0.0,0.0,0.0
2,per_pair,16,native4,0,15,1920,0.4172629182133921,0.5762564038664508,0.43711988567206905,0.7095514207812872
2,per_pair,16,native4,1,14,1792,0.6239618492194612,0.3668907865310674,0.25799434639463686,0.4821945612684643
2,per_pair,16,native4,2,13,1664,0.5895662929899259,0.4054696144272471,0.29117247359993415,0.5250533319347338
2,per_pair,16,native4,3,12,1536,0.5416979321506266,0.4461345097211207,0.314009343928711,0.580350985618603
2,per_pair,16,native4,4,11,1408,0.4975076456522334,0.4978098935565264,0.369652066689321,0.6236504530111991
2,per_pair,16,native4,5,10,1280,0.587217835601451,0.4060464209750297,0.29095555339185913,0.5240963825212923
2,per_pair,16,native4,6,9,1152,0.6674290798258053,0.3179349451994836,0.19931497093934522,0.44682022497010115
2,per_pair,16,native4,7,8,1024,0.6702328944953307,0.3138789602932982,0.18645166701558089,0.44803234818679766
2,per_pair,16,native4,8,7,896,0.687508654186193,0.30620633149584237,0.17941107979078422,0.44339236506671137
2,per_pair,16,native4,9,6,768,0.6770286566042931,0.31572221263466727,0.20004380233935376,0.44069047220827806
2,per_pair,16,native4,10,5,640,0.7865558590129731,0.20391721056300705,0.10883008635096002,0.313253655044487
2,per_pair,16,native4,11,4,512,0.8111838291449489,0.18299315035066577,0.09245395478362589,0.28708055976066393
2,per_pair,16,native4,12,3,384,0.8878068295924005,0.09672833033946555,0.02941935353137375,0.17776995179202487
2,per_pair,16,native4,13,2,256,0.8793979848637006,0.10983550029781257,0.045457754324545185,0.1879690142446203
2,per_pair,16,native4,14,1,128,0.9702148958057408,0.023438200896157512,0.0014683217016036325,0.06266175848064795
2,per_pair,16,native4,15,0,0,0.9821537726502271,0.0,0.0,0.0
2,per_pair,16,native6,0,15,1920,0.5746308949029233,0.4204897556903821,0.29355500865635753,0.550034343946764
2,per_pair,16,native6,1,14,1792,0.7562607204193046,0.23034199409786793,0.1298379692359216,0.3407620761941217
2,per_pair,16,native6,2,13,1664,0.6596782093270238,0.3355575591748749,0.20723935861278975,0.47035243133070614
2,per_pair,16,native6,3,12,1536,0.6765178592522463,0.3127908817988623,0.1906517898039158,0.44347959311911905
2,per_pair,16,native6,4,11,1408,0.6419176193458083,0.3529913503822503,0.23267770789450387,0.4786020824789315
2,per_pair,16,native6,5,10,1280,0.6770497508887157,0.3196720591236969,0.2156379341694034,0.4278169052040097
2,per_pair,16,native6,6,9,1152,0.7105591475392997,0.2813038371214825,0.17571367207661465,0.3980491846937597
2,per_pair,16,native6,7,8,1024,0.7747879958792878,0.21828758746675941,0.11289216810034332,0.3373385387924814
2,per_pair,16,native6,8,7,896,0.7549277028483685,0.23656670359725127,0.12434486126731972,0.3626092686376552
2,per_pair,16,native6,9,6,768,0.7869610314461061,0.19814166841264058,0.10640897643337976,0.30413993780907894
2,per_pair,16,native6,10,5,640,0.8618225702575489,0.1239419406477174,0.04237312499837414,0.22251067210536138
2,per_pair,16,native6,11,4,512,0.8666740917859943,0.12935880823581647,0.05033577661209849,0.22504540733809364
