overlap,regime,load,family,metric,mean,lower95,upper95
2,per_pair,2,native4,retention,0.9756725154478807,0.9566295166306104,0.9895311888609701
2,per_pair,2,native4,worst_pair,0.9589806687826584,0.9297707136348071,0.9814492657305042
2,per_pair,2,native4,new_learning,0.9921859789151859,0.9864471879667672,0.9965670792879784
2,per_pair,2,native4,forgetting,0.016513463467305162,0.005617071047661679,0.031005419322024826
2,per_pair,2,native4,noise_retention,0.9549054862592391,0.9319213632645695,0.9740615805837259
2,per_pair,2,native4,reversal,0.971333528179626,0.9353014136177654,0.9949955587174526
2,per_pair,2,native4,unchanged_after_reversal,0.9262028045485236,0.8550512398564666,0.9797622077344024
2,per_pair,2,native4,noise_reversal,0.959946852755579,0.9281638516350345,0.9835297138483117
2,per_pair,2,native6,retention,0.987435530955048,0.9799302635447946,0.9935026127591362
2,per_pair,2,native6,worst_pair,0.9778284484630693,0.9637212896376108,0.9888016220785613
2,per_pair,2,native6,new_learning,0.990861682555239,0.9838801572791879,0.9959905282876033
2,per_pair,2,native6,forgetting,0.003426151600190974,0.0007229626439952378,0.006767696164927498
2,per_pair,2,native6,noise_retention,0.9734736954922516,0.9629955019560696,0.9827396040697487
2,per_pair,2,native6,reversal,0.9892777023986397,0.9792156934082198,0.9966228295533532
2,per_pair,2,native6,unchanged_after_reversal,0.9311532929286694,0.8645148477709047,0.9826121710141359
2,per_pair,2,native6,noise_reversal,0.9799309318597833,0.9679065845315046,0.9898321750106007
2,per_pair,2,direct,retention,0.988454160120646,0.9772260971420673,0.9962905037114482
2,per_pair,2,direct,worst_pair,0.9780964640532601,0.9560744940729464,0.9935387607686206
2,per_pair,2,direct,new_learning,0.991502548023788,0.9819450545417308,0.9970107055350098
2,per_pair,2,direct,forgetting,0.003048387903141974,-0.00026196096918868264,0.008096851574662806
2,per_pair,2,direct,noise_retention,0.9789409935839575,0.9647454342063008,0.9895697087141461
2,per_pair,2,direct,reversal,0.9953443655830423,0.9918248864394449,0.9979747709372927
2,per_pair,2,direct,unchanged_after_reversal,0.9722433378434634,0.9332475436478357,0.9941233898403463
2,per_pair,2,direct,noise_reversal,0.9889617188764505,0.9825076886638819,0.993960723978727
2,per_pair,2,random4,retention,0.9722974072579971,0.9584612949689149,0.9840034716855415
2,per_pair,2,random4,worst_pair,0.948399577407862,0.9211772327060379,0.9712983305479762
2,per_pair,2,random4,new_learning,0.9849731108184872,0.97378290792194,0.9927974060909063
2,per_pair,2,random4,forgetting,0.012675703560490144,0.0046088997156833985,0.02314412547856613
2,per_pair,2,random4,noise_retention,0.9493277967816136,0.9359190129424386,0.961563804380196
2,per_pair,2,random4,reversal,0.9723417391916431,0.9561094471738079,0.986552842602721
2,per_pair,2,random4,unchanged_after_reversal,0.876074537845053,0.7926287949454636,0.9445221522921061
2,per_pair,2,random4,noise_reversal,0.9525497216134098,0.9314468357358495,0.9714442359915245
2,per_pair,2,random6,retention,0.982495797952484,0.9729283417258414,0.9904328237589142
2,per_pair,2,random6,worst_pair,0.9672615753754938,0.9484766557315484,0.9826734848315053
2,per_pair,2,random6,new_learning,0.9887662018756472,0.9806102506690796,0.9946091123213102
2,per_pair,2,random6,forgetting,0.00627040392316321,0.0017106922132340428,0.012095439650067612
2,per_pair,2,random6,noise_retention,0.9601808475021111,0.9474903024784902,0.9715992498195936
2,per_pair,2,random6,reversal,0.988655906279948,0.9806936610124973,0.9948560766696477
2,per_pair,2,random6,unchanged_after_reversal,0.9123067558320035,0.8423614595698032,0.9693543123946167
2,per_pair,2,random6,noise_reversal,0.9730911154610679,0.9605134363166143,0.9836940442383387
2,per_pair,2,oracle,retention,0.9964459363835397,0.9940440876594326,0.9982987590634607
2,per_pair,2,oracle,worst_pair,0.9933916767339606,0.9886883274066147,0.9970301438986714
2,per_pair,2,oracle,new_learning,0.9964459363835397,0.9940440876594326,0.9982987590634607
2,per_pair,2,oracle,forgetting,0.0,0.0,0.0
2,per_pair,2,oracle,noise_retention,0.9964459363835397,0.9940440876594326,0.9982987590634607
2,per_pair,2,oracle,reversal,0.9943507607416577,0.9888518152007649,0.9983445014631042
